zipcode,moyenneloyer,nboffer
75001,602.953739594586,22
75002,631.024173680242,90
75003,551.6711655130022,25
75004,502.01612903225805,4
75005,394,1
75006,595.8556033991754,14
75007,544.2002734107997,8
75008,628.4723278778996,128
75009,607.9080347144456,57
75010,483.1025008992468,56
75011,435.9868736141907,17
75012,428.9450039229174,24
75013,343.5258493353028,10
75014,396.4410931271313,17
75015,378.38071888074137,41
75016,413.44401151956635,10
75017,500.41346654178375,43
75018,305.61277033985584,5
75019,420.6811989100817,11
75020,420.3001508295626,5
