id,zipcode,moyenneloyer
75101,75001,602.953739594586
75102,75002,631.024173680242
75103,75003,551.6711655130022
75104,75004,502.01612903225805
75105,75005,394
75106,75006,595.8556033991754
75107,75007,544.2002734107997
75108,75008,628.4723278778996
75109,75009,607.9080347144456
75110,75010,483.1025008992468
75111,75011,435.9868736141907
75112,75012,428.9450039229174
75113,75013,343.5258493353028
75114,75014,396.4410931271313
75115,75015,378.38071888074137
75116,75016,413.44401151956635
75117,75017,500.41346654178375
75118,75018,305.61277033985584
75119,75019,420.6811989100817
75120,75020,420.3001508295626
