zipcode,moyennetransaction,nbtransac
75001,546.9221907530557,17
75002,675.3089769154077,24
75003,485.3240674857296,6
75004,480,1
75006,545.6755994358251,14
75007,592.7586206896551,2
75008,637.5584489346452,57
75009,605.4554621848739,32
75010,548.4792899408284,8
75011,489.6915492957746,14
75012,360,1
75013,459.12150719729044,6
75014,552.6346897440619,15
75015,449.5633236542327,11
75016,414.92537313432837,6
75017,484.3817909329337,10
75018,310.7352941176471,2
75019,230,1
75020,291.3168449197861,6
